Country;Language;ID;ISO2;Region1;Region2;Region3;Region4;ZIP;City;Area1;Area2;Lat;Lng;TZ;UTC;DST
"US";"EN";1;"US-AL";"Alabama";"Autauga";"";"";"36003";"Autaugaville";"";"";32.45868;-86.71458;"America/Chicago";"UTC-6";"Y"
"US";"EN";2;"US-AL";"Alabama";"Autauga";"";"";"36006";"Billingsley";"";"";32.61481;-86.71129;"America/Chicago";"UTC-6";"Y"
"US";"EN";3;"US-AL";"Alabama";"Autauga";"";"";"36008";"Booth";"";"";32.50028;-86.57194;"America/Chicago";"UTC-6";"Y"
"US";"EN";4;"US-AL";"Alabama";"Autauga";"";"";"36749";"Jones";"";"";32.47536;-86.84831;"America/Chicago";"UTC-6";"Y"
"US";"EN";5;"US-AL";"Alabama";"Autauga";"";"";"36051";"Marbury";"";"";32.66908;-86.51651;"America/Chicago";"UTC-6";"Y"
"US";"EN";6;"US-AL";"Alabama";"Autauga";"";"";"36066";"Prattville";"";"";32.46733;-86.43697;"America/Chicago";"UTC-6";"Y"
"US";"EN";7;"US-AL";"Alabama";"Autauga";"";"";"36067";"Prattville";"";"";32.48605;-86.50855;"America/Chicago";"UTC-6";"Y"
"US";"EN";8;"US-AL";"Alabama";"Autauga";"";"";"36068";"Prattville";"";"";32.46170;-86.44669;"America/Chicago";"UTC-6";"Y"
"US";"EN";9;"US-AL";"Alabama";"Baldwin";"";"";"36507";"Bay Minette";"";"";30.87468;-87.77304;"America/Chicago";"UTC-6";"Y"
"US";"EN";10;"US-AL";"Alabama";"Baldwin";"";"";"36511";"Bon Secour";"";"";30.31438;-87.72680;"America/Chicago";"UTC-6";"Y"
"US";"EN";11;"US-AL";"Alabama";"Baldwin";"";"";"36526";"Daphne";"";"";30.61995;-87.88824;"America/Chicago";"UTC-6";"Y"
"US";"EN";12;"US-AL";"Alabama";"Baldwin";"";"";"36530";"Elberta";"";"";30.40578;-87.58638;"America/Chicago";"UTC-6";"Y"
"US";"EN";13;"US-AL";"Alabama";"Baldwin";"";"";"36532";"Fairhope";"";"";30.50134;-87.86953;"America/Chicago";"UTC-6";"Y"
"US";"EN";14;"US-AL";"Alabama";"Baldwin";"";"";"36533";"Fairhope";"";"";30.48940;-87.85460;"America/Chicago";"UTC-6";"Y"
"US";"EN";15;"US-AL";"Alabama";"Baldwin";"";"";"36535";"Foley";"";"";30.39623;-87.70189;"America/Chicago";"UTC-6";"Y"
"US";"EN";16;"US-AL";"Alabama";"Baldwin";"";"";"36536";"Foley";"";"";30.40183;-87.66239;"America/Chicago";"UTC-6";"Y"
"US";"EN";17;"US-AL";"Alabama";"Baldwin";"";"";"36542";"Gulf Shores";"";"";30.27230;-87.71726;"America/Chicago";"UTC-6";"Y"
"US";"EN";18;"US-AL";"Alabama";"Baldwin";"";"";"36547";"Gulf Shores";"";"";30.24582;-87.70080;"America/Chicago";"UTC-6";"Y"
"US";"EN";19;"US-AL";"Alabama";"Baldwin";"";"";"36549";"Lillian";"";"";30.38700;-87.46366;"America/Chicago";"UTC-6";"Y"
"US";"EN";20;"US-AL";"Alabama";"Baldwin";"";"";"36550";"Little River";"";"";31.21746;-87.79359;"America/Chicago";"UTC-6";"Y"
"US";"EN";21;"US-AL";"Alabama";"Baldwin";"";"";"36551";"Loxley";"";"";30.61324;-87.75443;"America/Chicago";"UTC-6";"Y"
"US";"EN";22;"US-AL";"Alabama";"Baldwin";"";"";"36555";"Magnolia Springs";"";"";30.40255;-87.78651;"America/Chicago";"UTC-6";"Y"
"US";"EN";23;"US-AL";"Alabama";"Baldwin";"";"";"36559";"Montrose";"";"";30.56843;-87.89879;"America/Chicago";"UTC-6";"Y"
"US";"EN";24;"US-AL";"Alabama";"Baldwin";"";"";"36561";"Orange Beach";"";"";30.29508;-87.55030;"America/Chicago";"UTC-6";"Y"
"US";"EN";25;"US-AL";"Alabama";"Baldwin";"";"";"36562";"Perdido";"";"";31.01307;-87.65992;"America/Chicago";"UTC-6";"Y"
"US";"EN";26;"US-AL";"Alabama";"Baldwin";"";"";"36564";"Point Clear";"";"";30.47764;-87.91842;"America/Chicago";"UTC-6";"Y"
"US";"EN";27;"US-AL";"Alabama";"Baldwin";"";"";"36567";"Robertsdale";"";"";30.56940;-87.63072;"America/Chicago";"UTC-6";"Y"
"US";"EN";28;"US-AL";"Alabama";"Baldwin";"";"";"36574";"Robertsdale";"";"";30.50970;-87.48588;"America/Chicago";"UTC-6";"Y"
"US";"EN";29;"US-AL";"Alabama";"Baldwin";"";"";"36574";"Seminole";"";"";30.50970;-87.48588;"America/Chicago";"UTC-6";"Y"
"US";"EN";30;"US-AL";"Alabama";"Baldwin";"";"";"36576";"Silverhill";"";"";30.53166;-87.76072;"America/Chicago";"UTC-6";"Y"
"US";"EN";31;"US-AL";"Alabama";"Baldwin";"";"";"36527";"Spanish Fort";"";"";30.68268;-87.87145;"America/Chicago";"UTC-6";"Y"
"US";"EN";32;"US-AL";"Alabama";"Baldwin";"";"";"36577";"Spanish Fort";"";"";30.67524;-87.88459;"America/Chicago";"UTC-6";"Y"
"US";"EN";33;"US-AL";"Alabama";"Baldwin";"";"";"36578";"Stapleton";"";"";30.74053;-87.78937;"America/Chicago";"UTC-6";"Y"
"US";"EN";34;"US-AL";"Alabama";"Baldwin";"";"";"36579";"Stockton";"";"";31.08508;-87.82724;"America/Chicago";"UTC-6";"Y"
"US";"EN";35;"US-AL";"Alabama";"Baldwin";"";"";"36580";"Summerdale";"";"";30.48156;-87.72083;"America/Chicago";"UTC-6";"Y"
"US";"EN";36;"US-AL";"Alabama";"Barbour";"";"";"36027";"Bakerhill";"";"";31.88690;-85.15388;"America/Chicago";"UTC-6";"Y"
"US";"EN";37;"US-AL";"Alabama";"Barbour";"";"";"36016";"Clayton";"";"";31.88309;-85.44947;"America/Chicago";"UTC-6";"Y"
"US";"EN";38;"US-AL";"Alabama";"Barbour";"";"";"36017";"Clio";"";"";31.71091;-85.66072;"America/Chicago";"UTC-6";"Y"
"US";"EN";39;"US-AL";"Alabama";"Barbour";"";"";"36027";"Eufaula";"";"";31.88690;-85.15388;"America/Chicago";"UTC-6";"Y"
"US";"EN";40;"US-AL";"Alabama";"Barbour";"";"";"36072";"Eufaula";"";"";31.89108;-85.14552;"America/Chicago";"UTC-6";"Y"
"US";"EN";41;"US-AL";"Alabama";"Barbour";"";"";"36048";"Louisville";"";"";31.78224;-85.55503;"America/Chicago";"UTC-6";"Y"
"US";"EN";42;"US-AL";"Alabama";"Bibb";"";"";"35034";"Brent";"";"";32.93231;-87.17309;"America/Chicago";"UTC-6";"Y"
"US";"EN";43;"US-AL";"Alabama";"Bibb";"";"";"35035";"Brierfield";"";"";33.06936;-86.92914;"America/Chicago";"UTC-6";"Y"
"US";"EN";44;"US-AL";"Alabama";"Bibb";"";"";"35042";"Centreville";"";"";32.95620;-87.13494;"America/Chicago";"UTC-6";"Y"
"US";"EN";45;"US-AL";"Alabama";"Bibb";"";"";"35074";"Green Pond";"";"";33.22500;-87.12639;"America/Chicago";"UTC-6";"Y"
"US";"EN";46;"US-AL";"Alabama";"Bibb";"";"";"36793";"Lawley";"";"";32.86899;-86.96192;"America/Chicago";"UTC-6";"Y"
"US";"EN";47;"US-AL";"Alabama";"Bibb";"";"";"36792";"Randolph";"";"";32.89117;-86.90694;"America/Chicago";"UTC-6";"Y"
"US";"EN";48;"US-AL";"Alabama";"Bibb";"";"";"35184";"West Blocton";"";"";33.20336;-87.07208;"America/Chicago";"UTC-6";"Y"
"US";"EN";49;"US-AL";"Alabama";"Bibb";"";"";"35188";"Woodstock";"";"";33.16615;-87.17010;"America/Chicago";"UTC-6";"Y"
"US";"EN";50;"US-AL";"Alabama";"Blount";"";"";"35013";"Allgood";"";"";33.96566;-86.37990;"America/Chicago";"UTC-6";"Y"
"US";"EN";51;"US-AL";"Alabama";"Blount";"";"";"35031";"Blountsville";"";"";34.08276;-86.59515;"America/Chicago";"UTC-6";"Y"
"US";"EN";52;"US-AL";"Alabama";"Blount";"";"";"35049";"Cleveland";"";"";33.96930;-86.59970;"America/Chicago";"UTC-6";"Y"
"US";"EN";53;"US-AL";"Alabama";"Blount";"";"";"35079";"Hayden";"";"";33.88682;-86.80701;"America/Chicago";"UTC-6";"Y"
"US";"EN";54;"US-AL";"Alabama";"Blount";"";"";"35121";"Highland Lake";"";"";33.94686;-86.46874;"America/Chicago";"UTC-6";"Y"
"US";"EN";55;"US-AL";"Alabama";"Blount";"";"";"35097";"Locust Fork";"";"";33.90265;-86.62168;"America/Chicago";"UTC-6";"Y"
"US";"EN";56;"US-AL";"Alabama";"Blount";"";"";"35121";"Oneonta";"";"";33.94686;-86.46874;"America/Chicago";"UTC-6";"Y"
"US";"EN";57;"US-AL";"Alabama";"Blount";"";"";"35133";"Remlap";"";"";33.82111;-86.62134;"America/Chicago";"UTC-6";"Y"
"US";"EN";58;"US-AL";"Alabama";"Blount";"";"";"35121";"Rosa";"";"";33.94686;-86.46874;"America/Chicago";"UTC-6";"Y"
"US";"EN";59;"US-AL";"Alabama";"Bullock";"";"";"36061";"Banks";"";"";31.99062;-85.74552;"America/Chicago";"UTC-6";"Y"
"US";"EN";60;"US-AL";"Alabama";"Bullock";"";"";"36029";"Fitzpatrick";"";"";32.17758;-85.90407;"America/Chicago";"UTC-6";"Y"
"US";"EN";61;"US-AL";"Alabama";"Bullock";"";"";"36053";"Midway";"";"";32.10750;-85.52558;"America/Chicago";"UTC-6";"Y"
"US";"EN";62;"US-AL";"Alabama";"Bullock";"";"";"36061";"Perote";"";"";31.99062;-85.74552;"America/Chicago";"UTC-6";"Y"
"US";"EN";63;"US-AL";"Alabama";"Bullock";"";"";"36089";"Union Springs";"";"";32.14192;-85.71470;"America/Chicago";"UTC-6";"Y"
"US";"EN";64;"US-AL";"Alabama";"Butler";"";"";"36015";"Chapman";"";"";31.66402;-86.70110;"America/Chicago";"UTC-6";"Y"
"US";"EN";65;"US-AL";"Alabama";"Butler";"";"";"36030";"Forest Home";"";"";31.87604;-86.79445;"America/Chicago";"UTC-6";"Y"
"US";"EN";66;"US-AL";"Alabama";"Butler";"";"";"36033";"Georgiana";"";"";31.63716;-86.73557;"America/Chicago";"UTC-6";"Y"
"US";"EN";67;"US-AL";"Alabama";"Butler";"";"";"36037";"Greenville";"";"";31.81835;-86.60711;"America/Chicago";"UTC-6";"Y"
"US";"EN";68;"US-AL";"Alabama";"Butler";"";"";"36456";"McKenzie";"";"";31.54572;-86.74392;"America/Chicago";"UTC-6";"Y"
"US";"EN";69;"US-AL";"Alabama";"Calhoun";"";"";"36250";"Alexandria";"";"";33.76647;-85.89506;"America/Chicago";"UTC-6";"Y"
"US";"EN";70;"US-AL";"Alabama";"Calhoun";"";"";"36201";"Anniston";"";"";33.65915;-85.82506;"America/Chicago";"UTC-6";"Y"
"US";"EN";71;"US-AL";"Alabama";"Calhoun";"";"";"36202";"Anniston";"";"";33.71701;-85.87542;"America/Chicago";"UTC-6";"Y"
"US";"EN";72;"US-AL";"Alabama";"Calhoun";"";"";"36203";"Anniston";"";"";33.60906;-85.83702;"America/Chicago";"UTC-6";"Y"
"US";"EN";73;"US-AL";"Alabama";"Calhoun";"";"";"36204";"Anniston";"";"";33.68532;-85.82310;"America/Chicago";"UTC-6";"Y"
"US";"EN";74;"US-AL";"Alabama";"Calhoun";"";"";"36205";"Anniston";"";"";33.65972;-85.83167;"America/Chicago";"UTC-6";"Y"
"US";"EN";75;"US-AL";"Alabama";"Calhoun";"";"";"36206";"Anniston";"";"";33.72072;-85.83361;"America/Chicago";"UTC-6";"Y"
"US";"EN";76;"US-AL";"Alabama";"Calhoun";"";"";"36207";"Anniston";"";"";33.65421;-85.76899;"America/Chicago";"UTC-6";"Y"
"US";"EN";77;"US-AL";"Alabama";"Calhoun";"";"";"36210";"Anniston";"";"";33.65780;-85.77170;"America/Chicago";"UTC-6";"Y"
"US";"EN";78;"US-AL";"Alabama";"Calhoun";"";"";"36204";"Blue Mountain";"";"";33.68532;-85.82310;"America/Chicago";"UTC-6";"Y"
"US";"EN";79;"US-AL";"Alabama";"Calhoun";"";"";"36272";"Borden Springs";"";"";33.91560;-85.63429;"America/Chicago";"UTC-6";"Y"
"US";"EN";80;"US-AL";"Alabama";"Calhoun";"";"";"36253";"Bynum";"";"";33.60130;-85.96501;"America/Chicago";"UTC-6";"Y"
"US";"EN";81;"US-AL";"Alabama";"Calhoun";"";"";"36254";"Choccolocco";"";"";33.65631;-85.69916;"America/Chicago";"UTC-6";"Y"
"US";"EN";82;"US-AL";"Alabama";"Calhoun";"";"";"36257";"De Armanville";"";"";33.62897;-85.74192;"America/Chicago";"UTC-6";"Y"
"US";"EN";83;"US-AL";"Alabama";"Calhoun";"";"";"36260";"Eastaboga";"";"";33.60407;-85.97737;"America/Chicago";"UTC-6";"Y"
"US";"EN";84;"US-AL";"Alabama";"Calhoun";"";"";"36205";"Fort Mcclellan";"";"";33.65972;-85.83167;"America/Chicago";"UTC-6";"Y"
"US";"EN";85;"US-AL";"Alabama";"Calhoun";"";"";"36265";"Jacksonville";"";"";33.82970;-85.77592;"America/Chicago";"UTC-6";"Y"
"US";"EN";86;"US-AL";"Alabama";"Calhoun";"";"";"36271";"Ohatchee";"";"";33.79314;-86.01120;"America/Chicago";"UTC-6";"Y"
"US";"EN";87;"US-AL";"Alabama";"Calhoun";"";"";"36203";"Oxford";"";"";33.60906;-85.83702;"America/Chicago";"UTC-6";"Y"
"US";"EN";88;"US-AL";"Alabama";"Calhoun";"";"";"36272";"Piedmont";"";"";33.91560;-85.63429;"America/Chicago";"UTC-6";"Y"
"US";"EN";89;"US-AL";"Alabama";"Calhoun";"";"";"36277";"Weaver";"";"";33.75419;-85.81949;"America/Chicago";"UTC-6";"Y"
"US";"EN";90;"US-AL";"Alabama";"Calhoun";"";"";"36279";"Wellington";"";"";33.86575;-85.88929;"America/Chicago";"UTC-6";"Y"
"US";"EN";91;"US-AL";"Alabama";"Chambers";"";"";"36855";"Five Points";"";"";33.04769;-85.26820;"America/Chicago";"UTC-6";"Y"
"US";"EN";92;"US-AL";"Alabama";"Chambers";"";"";"36862";"Lafayette";"";"";32.89560;-85.43511;"America/Chicago";"UTC-6";"Y"
"US";"EN";93;"US-AL";"Alabama";"Chambers";"";"";"36863";"Lanett";"";"";32.86906;-85.23617;"America/Chicago";"UTC-6";"Y"
"US";"EN";94;"US-AL";"Alabama";"Chambers";"";"";"36854";"Valley";"";"";32.81053;-85.18116;"America/Chicago";"UTC-6";"Y"
"US";"EN";95;"US-AL";"Alabama";"Cherokee";"";"";"35959";"Cedar Bluff";"";"";34.21916;-85.59744;"America/Chicago";"UTC-6";"Y"
"US";"EN";96;"US-AL";"Alabama";"Cherokee";"";"";"35960";"Centre";"";"";34.15172;-85.67129;"America/Chicago";"UTC-6";"Y"
"US";"EN";97;"US-AL";"Alabama";"Cherokee";"";"";"35973";"Gaylesville";"";"";34.36977;-85.55715;"America/Chicago";"UTC-6";"Y"
"US";"EN";98;"US-AL";"Alabama";"Cherokee";"";"";"35983";"Leesburg";"";"";34.16197;-85.77892;"America/Chicago";"UTC-6";"Y"
"US";"EN";99;"US-AL";"Alabama";"Cherokee";"";"";"35983";"Sand Rock";"";"";34.16197;-85.77892;"America/Chicago";"UTC-6";"Y"
"US";"EN";100;"US-AL";"Alabama";"Cherokee";"";"";"36275";"Spring Garden";"";"";33.97278;-85.55389;"America/Chicago";"UTC-6";"Y"
"US";"EN";101;"US-AL";"Alabama";"Chilton";"";"";"35045";"Clanton";"";"";32.84177;-86.63289;"America/Chicago";"UTC-6";"Y"
